gene_id	symbol	seq_len	seqname	strand	num_A	num_C	num_G	num_T	num_N	pct_at	pct_gc	num_CG_dinuc	exon_count
ENSG00000000003.14	TSPAN6	4535	chrX	-	1280	835	1054	1366	0	0.583461962513782	0.416538037486218	89	10
ENSG00000000005.5	TNMD	1610	chrX	+	492	334	350	434	0	0.575155279503106	0.424844720496894	22	7
ENSG00000000419.12	DPM1	1207	chr20	-	362	210	270	365	0	0.602319801159901	0.397680198840099	28	10
ENSG00000000457.13	SCYL3	6883	chr1	-	2058	1432	1416	1977	0	0.586226935929101	0.413773064070899	72	15
ENSG00000000460.16	C1orf112	5967	chr1	+	1647	1354	1211	1755	0	0.570135746606335	0.429864253393665	88	32
ENSG00000000938.12	FGR	3474	chr1	-	768	973	1018	715	0	0.426885434657455	0.573114565342545	103	15
ENSG00000000971.15	CFH	8145	chr1	+	2685	1349	1595	2516	0	0.638551258440761	0.361448741559239	70	21
ENSG00000001036.13	FUCA2	2793	chr6	-	796	576	637	784	0	0.565699964196205	0.434300035803795	47	7
ENSG00000001084.10	GCLC	8463	chr6	-	2319	1822	1904	2418	0	0.559730591988656	0.440269408011344	161	18
ENSG00000001167.14	NFYA	3811	chr6	+	1086	804	911	1010	0	0.549986880083967	0.450013119916033	47	10
ENSG00000001460.17	STPG1	8511	chr1	-	2153	2146	2085	2127	0	0.502878627658324	0.497121372341675	235	12
ENSG00000001461.16	NIPAL3	9404	chr1	+	2471	2131	2281	2521	0	0.530837941301574	0.469162058698426	140	16
ENSG00000001497.16	LAS1L	5589	chrX	-	1344	1492	1384	1369	0	0.485417784934693	0.514582215065307	102	14
ENSG00000001561.6	ENPP4	4651	chr6	+	1497	758	844	1552	0	0.655557944528058	0.344442055471942	50	4
ENSG00000001617.11	SEMA3F	4826	chr3	+	922	1553	1478	873	0	0.371943638624119	0.628056361375881	268	20
ENSG00000001626.14	CFTR	8517	chr7	+	2623	1627	1896	2371	0	0.58635669836797	0.41364330163203	94	37
ENSG00000001629.9	ANKIB1	7130	chr7	+	2190	1433	1486	2021	0	0.590603085553997	0.409396914446003	90	24
ENSG00000001630.15	CYP51A1	4074	chr7	-	1138	846	896	1194	0	0.572410407461954	0.427589592538046	93	12
ENSG00000001631.15	KRIT1	6204	chr7	-	1994	1152	1199	1859	0	0.621050934880722	0.378949065119278	91	18
ENSG00000002016.17	RAD52	4190	chr12	-	979	1051	1072	1088	0	0.493317422434368	0.506682577565633	116	12
ENSG00000002330.13	BAD	1708	chr11	-	333	555	550	270	0	0.353044496487119	0.646955503512881	97	5
ENSG00000002549.12	LAP3	3785	chr4	+	1018	838	863	1066	0	0.550594451783355	0.449405548216645	101	15
ENSG00000002586.18	CD99	3284	chrX	+	746	836	864	838	0	0.482338611449452	0.517661388550548	132	15
ENSG00000002587.9	HS3ST1	8166	chr4	-	2240	1966	1935	2025	0	0.522287533676218	0.477712466323782	203	3
ENSG00000002726.20	AOC1	3824	chr7	+	854	1179	1064	727	0	0.413441422594142	0.586558577405858	128	11
ENSG00000002745.12	WNT16	3261	chr7	+	993	630	736	902	0	0.581110088929776	0.418889911070224	55	5
ENSG00000002746.14	HECW1	13965	chr7	+	3773	3397	3276	3519	0	0.522162549230218	0.477837450769782	384	37
ENSG00000002822.15	MAD1L1	7230	chr7	-	1428	2003	2388	1411	0	0.392669432918396	0.607330567081604	329	37
ENSG00000002834.17	LASP1	7061	chr17	+	1438	2040	2010	1573	0	0.426426851720719	0.573573148279281	198	9
ENSG00000002919.14	SNX11	3606	chr17	+	777	837	993	999	0	0.492512479201331	0.507487520798669	70	11
ENSG00000002933.7	TMEM176A	3479	chr7	+	692	1108	896	783	0	0.423972405863754	0.576027594136246	95	4
ENSG00000003056.7	M6PR	3777	chr12	-	986	853	884	1054	0	0.540111199364575	0.459888800635425	62	7
ENSG00000003096.13	KLHL13	6983	chrX	-	2101	1271	1448	2163	0	0.61062580552771	0.38937419447229	84	12
ENSG00000003137.8	CYP26B1	5015	chr2	-	972	1464	1401	1178	0	0.428713858424726	0.571286141575274	207	7
ENSG00000003147.17	ICA1	4891	chr7	-	1385	1098	1186	1222	0	0.533019832345124	0.466980167654876	114	21
ENSG00000003249.13	DBNDD1	4791	chr16	-	969	1565	1386	871	0	0.384053433521186	0.615946566478814	179	6
ENSG00000003393.14	ALS2	10384	chr2	-	2913	2048	2273	3150	0	0.583879044684129	0.416120955315871	122	40
ENSG00000003400.14	CASP10	7598	chr2	+	1990	1791	1721	2096	0	0.537773098183733	0.462226901816267	95	12
ENSG00000003402.19	CFLAR	22529	chr2	+	6081	5120	5245	6083	0	0.539926317191176	0.460073682808824	384	20
ENSG00000003436.14	TFPI	11714	chr2	-	3671	2335	2295	3413	0	0.604746457230664	0.395253542769336	109	13
ENSG00000003509.15	NDUFAF7	3651	chr2	+	1077	692	849	1033	0	0.577923856477677	0.422076143522323	67	12
ENSG00000003756.16	RBM5	10368	chr3	+	2764	2179	2379	3046	0	0.560378086419753	0.439621913580247	143	25
ENSG00000003987.13	MTMR7	5692	chr8	-	1672	1155	1225	1640	0	0.581869290231904	0.418130709768096	115	20
ENSG00000003989.16	SLC7A2	7905	chr8	+	2162	1596	1694	2453	0	0.583807716635041	0.416192283364959	132	15
ENSG00000004059.10	ARF5	1871	chr7	+	334	580	542	415	0	0.400320684126136	0.599679315873864	86	5
ENSG00000004139.13	SARM1	11137	chr17	+	2482	3159	3029	2467	0	0.444374607165305	0.555625392834695	300	11
ENSG00000004142.11	POLDIP2	2121	chr17	-	435	594	594	498	0	0.43988684582744	0.56011315417256	67	11
ENSG00000004399.12	PLXND1	9738	chr3	-	1904	3112	2844	1878	0	0.388375436434586	0.611624563565414	521	36
ENSG00000004455.16	AK2	5727	chr1	-	1541	1271	1304	1611	0	0.550375414702287	0.449624585297713	78	13
ENSG00000004468.12	CD38	6855	chr4	+	1859	1495	1423	2078	0	0.574325309992706	0.425674690007294	87	8
ENSG00000004478.7	FKBP4	5180	chr12	+	1230	1369	1355	1226	0	0.474131274131274	0.525868725868726	152	12
ENSG00000004487.15	KDM1A	5435	chr1	+	1441	1179	1356	1459	0	0.533578656853726	0.466421343146274	137	19
ENSG00000004534.14	RBM6	7302	chr3	+	2035	1473	1956	1838	0	0.530402629416598	0.469597370583402	185	29
ENSG00000004660.14	CAMKK1	7424	chr17	-	1548	1992	2275	1609	0	0.425242456896552	0.574757543103448	206	17
ENSG00000004700.15	RECQL	3778	chr12	-	1245	621	802	1110	0	0.623345685547909	0.376654314452091	62	15
ENSG00000004766.15	VPS50	9454	chr7	+	2896	1563	1796	3199	0	0.644700655807066	0.355299344192934	75	32
ENSG00000004776.11	HSPB6	1722	chr19	-	322	673	415	312	0	0.368176538908246	0.631823461091754	106	3
ENSG00000004777.18	ARHGAP33	5260	chr19	+	887	1842	1560	971	0	0.353231939163498	0.646768060836502	230	25
ENSG00000004779.9	NDUFAB1	1600	chr16	-	423	354	416	407	0	0.51875	0.48125	49	7
ENSG00000004799.7	PDK4	4519	chr7	-	1395	816	900	1408	0	0.620269971232574	0.379730028767426	55	9
ENSG00000004809.13	SLC22A16	3907	chr6	-	998	853	929	1127	0	0.543895572050166	0.456104427949834	84	11
ENSG00000004838.13	ZMYND10	4009	chr3	-	898	1162	1183	766	0	0.415066101272138	0.584933898727862	111	9
ENSG00000004846.16	ABCB5	9257	chr7	+	2764	1818	1959	2716	0	0.591984444204386	0.408015555795614	151	32
ENSG00000004848.7	ARX	3097	chrX	-	649	1010	922	516	0	0.376170487568615	0.623829512431385	259	9
ENSG00000004864.13	SLC25A13	3710	chr7	-	991	773	863	1083	0	0.559029649595687	0.440970350404313	69	20
ENSG00000004866.19	ST7;ST7-OT3;MIR6132	6742	chr7	+	1765	1638	1401	1938	0	0.549243547908633	0.450756452091368	135	31
ENSG00000004897.11	CDC27	6824	chr17	-	2089	1247	1319	2169	0	0.623974208675264	0.376025791324736	82	22
ENSG00000004939.13	SLC4A1	5287	chr17	-	1133	1482	1502	1170	0	0.43559674673728	0.56440325326272	146	20
ENSG00000004948.13	CALCR	4042	chr7	-	1191	822	831	1198	0	0.591044037605146	0.408955962394854	68	18
ENSG00000004961.14	HCCS	2335	chrX	+	635	471	527	702	0	0.572591006423983	0.427408993576017	51	7
ENSG00000004975.11	DVL2	5350	chr17	-	988	1561	1584	1217	0	0.41214953271028	0.58785046728972	185	10
ENSG00000005001.9	PRSS22	2387	chr16	-	380	808	681	518	0	0.37620444072057	0.62379555927943	109	8
ENSG00000005007.12	UPF1	8600	chr19	+	1709	2402	2725	1764	0	0.403837209302326	0.596162790697674	444	28
ENSG00000005020.12	SKAP2	5520	chr7	-	1687	1058	1154	1621	0	0.599275362318841	0.400724637681159	99	22
ENSG00000005022.5	SLC25A5	1500	chrX	+	359	366	381	394	0	0.502	0.498	52	5
ENSG00000005059.15	MCUB	3566	chr4	+	1039	693	724	1110	0	0.60263600673023	0.39736399326977	58	10
ENSG00000005073.5	HOXA11	2307	chr7	-	559	650	620	478	0	0.449501517121803	0.550498482878197	97	2
ENSG00000005075.15	POLR2J	1355	chr7	-	290	387	410	268	0	0.411808118081181	0.588191881918819	53	4
ENSG00000005100.12	DHX33	5872	chr17	-	1505	1382	1487	1498	0	0.511410081743869	0.488589918256131	150	12
ENSG00000005102.12	MEOX1	2707	chr17	-	687	711	714	595	0	0.473586996675286	0.526413003324714	54	3
ENSG00000005108.15	THSD7A	10929	chr7	-	3270	2223	2429	3007	0	0.574343489797786	0.425656510202214	172	29
ENSG00000005156.11	LIG3	12919	chr17	+	3155	3281	3165	3318	0	0.501044972521093	0.498955027478907	265	19
ENSG00000005175.9	RPAP3	5381	chr12	-	1787	856	1076	1662	0	0.640958929566995	0.359041070433005	53	19
ENSG00000005187.11	ACSM3	7822	chr16	+	2430	1684	1622	2086	0	0.577345947328049	0.422654052671951	59	24
ENSG00000005189.19	LOC81691	4114	chr16	+	1086	933	975	1120	0	0.536217792902285	0.463782207097715	92	21
ENSG00000005194.14	CIAPIN1	3509	chr16	-	828	828	849	1004	0	0.522086064405814	0.477913935594186	60	9
ENSG00000005206.16	SPPL2B	7130	chr19	+	1157	2193	2376	1404	0	0.359186535764376	0.640813464235624	374	19
ENSG00000005238.19	FAM214B	6409	chr9	-	1339	1745	1859	1466	0	0.437665782493369	0.562334217506631	126	10
ENSG00000005243.9	COPZ2	1851	chr17	-	421	490	515	425	0	0.457050243111831	0.542949756888169	44	11
ENSG00000005249.12	PRKAR2B	4318	chr7	+	1278	785	944	1311	0	0.599583140342751	0.400416859657249	102	13
ENSG00000005302.17	MSL3	6496	chrX	+	1756	1371	1462	1907	0	0.563885467980296	0.436114532019704	127	14
ENSG00000005339.14	CREBBP	15492	chr16	-	3797	4287	3947	3461	0	0.46849987090111	0.53150012909889	565	37
ENSG00000005379.15	TSPOAP1	11354	chr17	-	2360	3356	3525	2113	0	0.393958076448829	0.606041923551171	292	28
ENSG00000005381.7	MPO	3526	chr17	-	702	1038	1036	750	0	0.411798071469087	0.588201928530913	135	12
ENSG00000005421.8	PON1	2832	chr7	-	781	594	607	850	0	0.575918079096045	0.424081920903955	42	9
ENSG00000005436.13	GCFC2	5465	chr2	-	1757	965	1077	1666	0	0.626349496797804	0.373650503202196	95	18
ENSG00000005448.16	WDR54	2860	chr2	+	592	781	832	655	0	0.436013986013986	0.563986013986014	90	5
ENSG00000005469.11	CROT	4979	chr7	+	1554	817	1009	1599	0	0.633259690700944	0.366740309299056	47	20
ENSG00000005471.15	ABCB4	7494	chr7	-	2347	1365	1823	1959	0	0.574593007739525	0.425406992260475	109	33
ENSG00000005483.20	KMT2E	9231	chr7	+	2860	1982	1813	2576	0	0.588885277868053	0.411114722131947	121	31
ENSG00000005486.16	RHBDD2	2441	chr7	+	460	749	661	571	0	0.422367882015567	0.577632117984433	93	8
ENSG00000005513.9	SOX8	4432	chr16	+	751	1429	1450	802	0	0.350406137184116	0.649593862815884	328	2
ENSG00000005700.14	IBTK	8722	chr6	-	2673	1429	1781	2839	0	0.631965145608805	0.368034854391195	66	28
ENSG00000005801.16	ZNF195	5709	chr11	-	1611	1302	1180	1616	0	0.565247854265195	0.434752145734805	67	16
ENSG00000005810.17	MYCBP2	15945	chr13	-	4743	3328	3683	4191	0	0.56030103480715	0.43969896519285	246	87
ENSG00000005812.10	FBXL3	7082	chr13	-	2193	1327	1427	2135	0	0.611126800338887	0.388873199661113	114	7
ENSG00000005844.17	ITGAL	6472	chr16	+	1439	1821	1781	1431	0	0.44344870210136	0.55655129789864	158	32
ENSG00000005882.11	PDK2	5481	chr17	+	1175	1577	1609	1120	0	0.41871921182266	0.58128078817734	159	13
ENSG00000005884.17	ITGA3	9802	chr17	+	2067	2831	2799	2105	0	0.425627422974903	0.574372577025097	316	24
ENSG00000005889.15	ZFX	9037	chrX	+	2588	1804	2003	2642	0	0.578731880048689	0.421268119951311	194	18
ENSG00000005893.15	LAMP2	5526	chrX	-	1602	980	1042	1902	0	0.634093376764386	0.365906623235613	60	11
ENSG00000005961.17	ITGA2B	5551	chr17	-	1076	1574	1789	1112	0	0.394163213835345	0.605836786164655	201	23
ENSG00000005981.12	ASB4	4605	chr7	+	1345	907	1012	1341	0	0.58327904451683	0.41672095548317	46	6
ENSG00000006007.11	GDE1	4416	chr16	-	1269	967	1027	1153	0	0.548460144927536	0.451539855072464	86	7
ENSG00000006015.17	C19orf60	3370	chr19	+	556	1071	939	804	0	0.403560830860534	0.596439169139466	175	3
ENSG00000006016.10	CRLF1	3018	chr19	-	607	1033	850	528	0	0.376076872100729	0.623923127899271	195	12
ENSG00000006025.11	OSBPL7	6572	chr17	-	1279	2015	1914	1364	0	0.402160681679854	0.597839318320146	185	18
ENSG00000006042.11	TMEM98	5187	chr17	+	1215	1253	1337	1382	0	0.500674763832659	0.499325236167341	112	9
ENSG00000006047.12	YBX2	4618	chr17	-	914	1347	1360	997	0	0.413815504547423	0.586184495452577	158	6
ENSG00000006062.13	MAP3K14	5852	chr17	-	1358	1739	1668	1087	0	0.417805878332194	0.582194121667806	161	17
ENSG00000006071.12	ABCC8	6778	chr11	-	1398	2114	1885	1381	0	0.410002950722927	0.589997049277073	237	37
ENSG00000006116.3	CACNG3	3088	chr16	+	712	913	766	697	0	0.456282383419689	0.543717616580311	119	4
ENSG00000006118.14	TMEM132A	7271	chr11	+	1353	2255	2199	1464	0	0.387429514509696	0.612570485490304	266	9
ENSG00000006125.16	AP2B1	7587	chr17	+	2039	1745	1764	2039	0	0.537498352444972	0.462501647555028	132	30
